"sale_dttm","card_number","coffee_type","price","discount","grocery_flg"
"1/10/2021 10:52",1,a,75,5,1
"1/10/2021 13:33",1,b,40,5,0
"1/10/2021 13:45",2,a,75,3,1
"1/12/2021 18:01",1,c,95,3,1
"1/11/2021 11:52",1,a,75,5,1
"1/13/2021 12:08",3,b,65,4,1
"1/16/2021 13:45",2,a,75,3,1
"1/14/2021 18:01",1,c,95,3,1
"1/14/2021 10:52",3,a,75,5,1
"1/16/2021 13:33",1,b,40,5,0
"1/17/2021 13:33",2,a,75,3,1
"1/17/2021 18:01",1,c,95,3,1
"2/11/2021 10:52",1,a,75,5,1
"2/12/2021 13:33",1,b,40,5,0
"2/13/2021 13:45",2,a,75,3,1
"2/15/2021 18:01",1,c,95,3,1
"2/14/2021 11:52",1,a,75,5,1
"2/22/2021 12:08",3,b,65,4,1
"2/23/2021 13:45",2,a,75,3,1
"2/24/2021 18:01",1,c,95,3,1
"2/24/2021 10:52",3,a,75,5,1
"2/25/2021 13:33",1,b,40,5,0
"2/26/2021 13:33",2,a,75,3,1
"2/27/2021 18:01",1,c,95,3,1
"2/26/2021 15:05",2,b,40,3,0
"2/27/2021 15:36",2,b,65,4,1
